iter	Passed	Remaining
0	200	200194
1	202	101020
2	204	67945
3	206	51389
4	208	41464
5	211	34982
6	214	30477
7	216	26896
8	218	24071
9	220	21792
10	221	19947
11	223	18406
12	225	17091
13	226	15960
14	229	15092
15	231	14225
16	232	13459
17	234	12776
18	235	12172
19	237	11628
20	238	11136
21	240	10689
22	243	10348
23	245	9967
24	246	9617
25	248	9292
26	249	8991
27	251	8713
28	252	8454
29	254	8216
30	255	8000
31	257	7799
32	259	7600
33	260	7413
34	262	7237
35	264	7073
36	265	6914
37	267	6762
38	268	6619
39	272	6535
40	273	6406
41	275	6283
42	276	6164
43	278	6059
44	280	5960
45	282	5856
46	283	5757
47	286	5689
48	288	5601
49	290	5513
50	291	5428
51	293	5346
52	294	5266
53	296	5190
54	297	5117
55	301	5079
56	302	5011
57	304	4944
58	305	4880
59	307	4817
60	308	4755
61	310	4697
62	312	4641
63	315	4613
64	317	4562
65	318	4510
66	320	4459
67	322	4414
68	323	4367
69	325	4319
70	326	4273
71	329	4251
72	331	4212
73	333	4169
74	334	4128
75	336	4087
76	337	4047
77	339	4008
78	340	3971
79	343	3955
80	345	3920
81	347	3886
82	347	3844
83	349	3811
84	350	3778
85	352	3746
86	353	3714
87	355	3683
88	358	3672
89	360	3643
90	361	3614
91	363	3585
92	364	3557
93	366	3531
94	367	3503
95	369	3477
96	370	3452
97	373	3439
98	375	3414
99	376	3390
100	378	3366
101	379	3342
102	381	3320
103	382	3297
104	384	3276
105	387	3265
106	388	3244
107	390	3223
108	391	3203
109	393	3182
110	394	3161
111	396	3141
112	397	3122
113	399	3107
114	402	3094
115	403	3075
116	404	3055
117	406	3037
118	408	3026
119	410	3009
120	411	2992
121	414	2983
122	416	2967
123	417	2951
124	419	2935
125	420	2918
126	422	2901
127	423	2885
128	425	2871
129	426	2856
130	429	2851
131	431	2836
132	432	2821
133	434	2807
134	435	2793
135	437	2778
136	439	2765
137	440	2752
138	444	2756
139	446	2743
140	448	2731
141	449	2716
142	451	2705
143	453	2694
144	454	2681
145	456	2669
146	458	2663
147	460	2651
148	462	2640
149	463	2628
150	465	2617
151	467	2606
152	469	2598
153	472	2594
154	474	2586
155	476	2579
156	478	2571
157	480	2562
158	482	2552
159	484	2543
160	489	2548
161	491	2541
162	493	2532
163	494	2521
164	496	2512
165	498	2502
166	499	2491
167	503	2493
168	505	2484
169	506	2475
170	508	2464
171	509	2455
172	511	2445
173	513	2436
174	516	2436
175	518	2428
176	520	2419
177	521	2410
178	523	2400
179	524	2391
180	526	2381
181	527	2372
182	531	2371
183	533	2364
184	534	2355
185	536	2349
186	538	2342
187	540	2333
188	541	2324
189	543	2315
190	546	2312
191	547	2305
192	549	2297
193	551	2289
194	552	2282
195	554	2274
196	555	2265
197	557	2257
198	560	2254
199	562	2249
200	563	2241
201	565	2234
202	567	2226
203	568	2218
204	569	2210
205	571	2202
206	573	2195
207	576	2193
208	577	2186
209	579	2179
210	580	2172
211	582	2166
212	584	2161
213	586	2154
214	590	2156
215	592	2149
216	593	2143
217	595	2135
218	596	2128
219	598	2120
220	599	2113
221	601	2107
222	604	2106
223	606	2099
224	607	2092
225	609	2085
226	610	2079
227	612	2072
228	613	2065
229	615	2059
230	616	2053
231	619	2051
232	621	2045
233	622	2038
234	624	2031
235	625	2025
236	627	2019
237	628	2012
238	630	2006
239	633	2006
